72,28,1404,High,Multiple Transactions,Resolved
73,64,1505,High,Unusual Spending Pattern,Closed
74,23,1445,Low,Multiple Transactions,Open
75,67,908,High,Multiple Failed Logins,Closed
76,25,1226,High,Foreign Transaction,Open
77,76,1467,Low,Multiple Failed Logins,Resolved
78,98,1494,Medium,Foreign Transaction,Open
79,62,1204,Low,Multiple Transactions,Closed
80,2,1918,Medium,Multiple Transactions,Closed
81,64,1974,High,Multiple Failed Logins,Open
82,20,955,Low,Multiple Failed Logins,Open
83,18,639,High,Multiple Failed Logins,Resolved
84,92,1896,High,Unusual Spending Pattern,Closed
85,45,1004,Low,Multiple Failed Logins,Investigating
86,49,1014,Low,Unusual Spending Pattern,Closed
87,41,22,Low,Multiple Transactions,Open
88,98,1129,High,Multiple Failed Logins,Closed
89,61,1817,Medium,Large Purchase,Open
90,12,1443,Medium,Multiple Transactions,Open
91,24,1873,High,Unusual Spending Pattern,Open
92,68,638,Low,Foreign Transaction,Open
93,43,1555,Low,Unusual Spending Pattern,Resolved
94,9,616,High,Large Purchase,Closed
95,49,1707,Medium,Multiple Failed Logins,Resolved
96,64,1820,Medium,Multiple Transactions,Resolved
97,3,340,Medium,Multiple Transactions,Investigating
98,23,241,Medium,Large Purchase,Closed
99,22,797,Medium,Unusual Spending Pattern,Investigating
100,76,1756,Medium,Unusual Spending Pattern,Open
101,68,346,High,Unusual Spending Pattern,Resolved
102,20,313,Low,Multiple Failed Logins,Investigating
103,30,867,Medium,Foreign Transaction,Open
104,12,418,High,Unusual Spending Pattern,Closed
105,15,1312,Low,Unusual Spending Pattern,Open
106,65,1191,Low,Multiple Transactions,Investigating
107,97,35,Medium,Unusual Spending Pattern,Open
108,53,1085,Medium,Multiple Transactions,Closed
109,31,251,High,Large Purchase,Open
110,47,942,High,Large Purchase,Closed
111,84,434,Medium,Unusual Spending Pattern,Investigating
112,68,516,High,Multiple Failed Logins,Closed
113,44,1299,Medium,Foreign Transaction,Investigating
114,96,1870,High,Large Purchase,Open
115,35,1625,Low,Large Purchase,Resolved
116,15,1378,High,Multiple Failed Logins,Closed
117,78,1531,Medium,Multiple Failed Logins,Closed
118,9,189,Medium,Foreign Transaction,Closed
119,50,718,Medium,Foreign Transaction,Resolved
120,83,87,Medium,Large Purchase,Investigating
121,50,569,Medium,Multiple Failed Logins,Closed
122,92,1864,Medium,Large Purchase,Closed
123,46,1523,Low,Large Purchase,Investigating
124,48,980,High,Multiple Transactions,Investigating
125,92,289,Low,Foreign Transaction,Open
126,9,1452,High,Unusual Spending Pattern,Closed
127,90,969,Low,Foreign Transaction,Investigating
128,81,196,High,Foreign Transaction,Open
129,20,933,Medium,Unusual Spending Pattern,Closed
130,64,1974,High,Multiple Failed Logins,Closed
131,60,279,Medium,Foreign Transaction,Closed
132,87,575,Low,Multiple Failed Logins,Open
133,68,1300,High,Large Purchase,Investigating
134,2,561,Low,Multiple Transactions,Open
135,41,363,Low,Large Purchase,Investigating
136,66,789,Medium,Multiple Transactions,Open
137,42,571,Medium,Multiple Transactions,Open
138,67,218,High,Large Purchase,Resolved
139,58,1637,Low,Large Purchase,Investigating
140,41,263,Low,Multiple Transactions,Resolved
141,92,1619,Low,Foreign Transaction,Resolved
142,48,1832,Medium,Large Purchase,Open
143,59,727,Low,Large Purchase,Closed
144,22,1688,Medium,Unusual Spending Pattern,Investigating
145,62,856,Medium,Foreign Transaction,Open
146,20,47,Medium,Foreign Transaction,Open
147,96,315,Low,Large Purchase,Open
148,61,1817,Low,Large Purchase,Investigating
149,87,1717,Low,Large Purchase,Closed
150,23,767,Low,Foreign Transaction,Closed
